state_name,year,quarter_num,median_home_value,yoy_growth_pct
Delaware,2022,3,367678.4,11.69
Delaware,2022,4,366453.34,9.91
Delaware,2023,1,367417.26,6.32
Maine,2020,1,241608.7,
Maine,2020,2,247805.48,
Maine,2020,3,255133.03,
Maine,2020,4,270173.06,
Maine,2021,1,286036.76,18.39
Maine,2021,2,302621.05,22.12
Maine,2021,3,319151.81,25.09
Maine,2021,4,323780.25,19.84
Maine,2022,1,336676.18,17.7
Maine,2022,2,359118.01,18.67
Maine,2022,3,367293.4,15.08
Maine,2022,4,363164.81,12.16
Maine,2023,1,364883.55,8.38
Alaska,2020,1,303683.84,
Alaska,2020,2,303497.5,
Alaska,2020,3,303174.63,
Alaska,2020,4,308356.41,
Alaska,2021,1,311802.0,2.67
Alaska,2021,2,315237.09,3.87
Alaska,2021,3,324988.56,7.2
Alaska,2021,4,332233.62,7.74
Alaska,2022,1,336500.53,7.92
Alaska,2022,2,343097.8,8.84
Alaska,2022,3,348525.69,7.24
Alaska,2022,4,346756.19,4.37
Alaska,2023,1,345585.44,2.7
Arkansas,2020,1,133479.02,
Arkansas,2020,2,136323.21,
Arkansas,2020,3,139514.68,
Arkansas,2020,4,144305.39,
Arkansas,2021,1,148550.75,11.29
Arkansas,2021,2,154204.43,13.12
Arkansas,2021,3,160696.42,15.18
Arkansas,2021,4,165085.13,14.4
Arkansas,2022,1,171125.5,15.2
Arkansas,2022,2,176764.48,14.63
Arkansas,2022,3,179425.42,11.65
Arkansas,2022,4,179207.72,8.55
Arkansas,2023,1,182192.47,6.47
Indiana,2020,1,162648.31,
Indiana,2020,2,166309.69,
Indiana,2020,3,169459.86,
Indiana,2020,4,176326.39,
Indiana,2021,1,184328.58,13.33
Indiana,2021,2,193356.24,16.26
Indiana,2021,3,200593.73,18.37
Indiana,2021,4,204285.77,15.86
Indiana,2022,1,212807.24,15.45
Indiana,2022,2,223861.59,15.78
Indiana,2022,3,227871.99,13.6
Indiana,2022,4,226995.8,11.12
Indiana,2023,1,228044.33,7.16
Pennsylvania,2020,1,189456.61,
Pennsylvania,2020,2,193134.5,
Pennsylvania,2020,3,195909.26,
Pennsylvania,2020,4,203880.0,
Pennsylvania,2021,1,212804.38,12.32
Pennsylvania,2021,2,221670.7,14.78
Pennsylvania,2021,3,227572.96,16.16
Pennsylvania,2021,4,227645.24,11.66
Pennsylvania,2022,1,234932.07,10.4
Pennsylvania,2022,2,246167.51,11.05
Pennsylvania,2022,3,249564.55,9.66
Pennsylvania,2022,4,249173.54,9.46
Pennsylvania,2023,1,251024.83,6.85
Connecticut,2020,1,272743.72,
Connecticut,2020,2,277199.28,
Connecticut,2020,3,279135.22,
Connecticut,2020,4,289964.13,
Connecticut,2021,1,304914.75,11.8
Connecticut,2021,2,318977.71,15.07
Connecticut,2021,3,326836.91,17.09
Connecticut,2021,4,326691.63,12.67
Connecticut,2022,1,337524.99,10.69
Connecticut,2022,2,355353.97,11.4
Connecticut,2022,3,364016.98,11.38
Connecticut,2022,4,363674.18,11.32
Connecticut,2023,1,366202.17,8.5
Louisiana,2020,1,164544.06,
Louisiana,2020,2,166875.17,
Louisiana,2020,3,168560.95,
Louisiana,2020,4,172950.1,
Louisiana,2021,1,175015.33,6.36
Louisiana,2021,2,177708.44,6.49
Louisiana,2021,3,179881.52,6.72
Louisiana,2021,4,181127.41,4.73
Louisiana,2022,1,185628.74,6.06
Louisiana,2022,2,190537.91,7.22
Louisiana,2022,3,192104.64,6.8
Louisiana,2022,4,188951.85,4.32
Louisiana,2023,1,189064.96,1.85
Montana,2020,1,279641.68,
Montana,2020,2,286484.29,
Montana,2020,3,291651.38,
Montana,2020,4,306159.49,
Montana,2021,1,326433.11,16.73
Montana,2021,2,351608.34,22.73
Montana,2021,3,374347.31,28.35
Montana,2021,4,389945.03,27.37
Montana,2022,1,412247.79,26.29
Montana,2022,2,442271.05,25.79
Montana,2022,3,452028.35,20.75
Montana,2022,4,442573.03,13.5
Montana,2023,1,440253.15,6.79
Washington,2020,1,423132.91,
Washington,2020,2,434417.97,
Washington,2020,3,442119.11,
Washington,2020,4,462991.91,
Washington,2021,1,487143.23,15.13
Washington,2021,2,514830.72,18.51
Washington,2021,3,537506.55,21.58
Washington,2021,4,547850.12,18.33
Washington,2022,1,573165.53,17.66
Washington,2022,2,609553.47,18.4
Washington,2022,3,607900.81,13.1
Washington,2022,4,589706.9,7.64
Washington,2023,1,579819.01,1.16
Colorado,2020,1,413696.79,
Colorado,2020,2,421175.46,
Colorado,2020,3,424948.93,
Colorado,2020,4,439745.99,
Colorado,2021,1,458101.07,10.73
Colorado,2021,2,482139.67,14.47
Colorado,2021,3,502944.45,18.35
Colorado,2021,4,515803.46,17.3
Colorado,2022,1,539488.8,17.77
Colorado,2022,2,569041.49,18.02
Colorado,2022,3,571233.32,13.58
Colorado,2022,4,557451.21,8.07
Colorado,2023,1,549113.12,1.78
Illinois,2020,1,188344.2,
Illinois,2020,2,190960.83,
Illinois,2020,3,191811.83,
Illinois,2020,4,197797.29,
Illinois,2021,1,205304.09,9.0
Illinois,2021,2,212761.82,11.42
Illinois,2021,3,219541.68,14.46
Illinois,2021,4,223480.35,12.98
Illinois,2022,1,231671.8,12.84
Illinois,2022,2,241777.52,13.64
Illinois,2022,3,243494.7,10.91
Illinois,2022,4,241379.13,8.01
Illinois,2023,1,243120.06,4.94
Michigan,2020,1,167954.69,
Michigan,2020,2,171547.76,
Michigan,2020,3,173507.0,
Michigan,2020,4,180309.65,
Michigan,2021,1,188876.87,12.46
Michigan,2021,2,198735.88,15.85
Michigan,2021,3,205459.19,18.42
Michigan,2021,4,206136.58,14.32
Michigan,2022,1,213079.22,12.81
Michigan,2022,2,224554.28,12.99
Michigan,2022,3,226911.33,10.44
Michigan,2022,4,224192.7,8.76
Michigan,2023,1,226218.22,6.17
New York,2020,1,334588.87,
New York,2020,2,338939.11,
New York,2020,3,341426.61,
New York,2020,4,350903.9,
New York,2021,1,364787.36,9.03
